category,text,label
Performance,"The system must provide a fast and efficient parsing process, under 2 seconds.",1
Performance,CV parsing speed must be optimized to under 2 seconds.,1
Performance,System should respond in less than 1 second.,1
Performance,System performance can vary under load.,1
Performance,Performance is not critical for this system.,0
Performance,System should respond in less than 1 second.,1
Performance,System performance can vary under load.,1
Performance,Performance is not critical for this system.,0
Performance,System should process 1000 transactions per second.,1
Performance,The application must load the dashboard in under 2 seconds.,1
Performance,The response time for any API call should not exceed 500 milliseconds.,1
Performance,"The system must support 10,000 concurrent users without degradation.",1
Performance,Reports should be generated within 3 seconds after user request.,1
Performance,System performance must remain stable under heavy traffic conditions.,1
Performance,Database queries should execute in less than 200ms.,1
Performance,The server must maintain uptime of 99.9% with minimal latency.,1
Performance,Performance is not a primary concern for this application.,0
Performance,System may take up to 30 seconds to complete background tasks.,0
Performance,Response time under load may exceed 10 seconds.,0
Performance,Batch processing may take several minutes to complete.,0
Performance,System is expected to run on a single-user mode with minimal performance requirements.,0
Performance,Delays in data retrieval are acceptable for this prototype version.,0
Performance,System should respond in less than 1 second.,1
Performance,System performance can vary under load.,1
Performance,Performance is not critical for this system.,0
Performance,System should process 1000 transactions per second.,1
Performance,The application must load the dashboard in under 2 seconds.,1
Performance,The response time for any API call should not exceed 500 milliseconds.,1
Performance,"The system must support 10,000 concurrent users without degradation.",1
Performance,Reports should be generated within 3 seconds after user request.,1
Performance,System performance must remain stable under heavy traffic conditions.,1
Performance,Database queries should execute in less than 200ms.,1
Performance,The server must maintain uptime of 99.9% with minimal latency.,1
Performance,Performance is not a primary concern for this application.,0
Performance,System may take up to 30 seconds to complete background tasks.,0
Performance,Response time under load may exceed 10 seconds.,0
Performance,Batch processing may take several minutes to complete.,0
Performance,System is expected to run on a single-user mode with minimal performance requirements.,0
Performance,Delays in data retrieval are acceptable for this prototype version.,0
Performance,The system must be highly responsive and efficient.,1
Performance,Application speed is a top priority.,1
Performance,System should perform operations instantly.,1
Performance,Users should experience no lag while using the system.,1
Performance,Performance must be optimized for quick user interaction.,1
Performance,System should respond in less than 1 second.,1
Performance,System performance can vary under load.,1
Performance,Performance is not critical for this system.,0
Performance,System should process 1000 transactions per second.,1
Performance,The application must load the dashboard in under 2 seconds.,1
Performance,The response time for any API call should not exceed 500 milliseconds.,1
Performance,"The system must support 10,000 concurrent users without degradation.",1
Performance,Reports should be generated within 3 seconds after user request.,1
Performance,System performance must remain stable under heavy traffic conditions.,1
Performance,Database queries should execute in less than 200ms.,1
Performance,The server must maintain uptime of 99.9% with minimal latency.,1
Performance,Performance is not a primary concern for this application.,0
Performance,System may take up to 30 seconds to complete background tasks.,0
Performance,Response time under load may exceed 10 seconds.,0
Performance,Batch processing may take several minutes to complete.,0
Performance,System is expected to run on a single-user mode with minimal performance requirements.,0
Performance,Delays in data retrieval are acceptable for this prototype version.,0
Performance,The system must be highly responsive and efficient.,1
Performance,Application speed is a top priority.,1
Performance,System should perform operations instantly.,1
Performance,Users should experience no lag while using the system.,1
Performance,Performance must be optimized for quick user interaction.,1
Performance,System performance may vary depending on network speed.,1
Performance,Response time might fluctuate during peak hours.,1
Performance,Performance depends on the size of the data being processed.,1
Performance,Application speed may differ across hardware configurations.,1
Performance,System performance can vary under heavy load.,1
Performance,The system might slow down when multiple background jobs are running.,1
Performance,Performance may depend on available system resources.,1
Performance,Response times may differ based on concurrent user activity.,1
Performance,System speed may vary when accessing remote servers.,1
Performance,Performance is not critical for this system.,0
Performance,The system can take up to 30 seconds to complete operations.,0
Performance,Delays in processing are acceptable for background tasks.,0
Performance,Response time under load may exceed 10 seconds.,0
Performance,Batch jobs may take several minutes to complete.,0
Performance,"System performance may degrade during high traffic, which is acceptable.",0
Performance,Fast response time is not a key requirement.,0
Performance,System may take noticeable time to start up.,0
Performance,Performance tuning will be addressed in future releases.,0
Performance,The system can generate reports within 50 seconds.,0
Performance,Minor delays are acceptable for non-critical processes.,0
Performance,The prototype version may have reduced performance.,0
Performance,The system must respond in less than 1 second for all user actions.,1
Performance,API calls should return results within 500 milliseconds.,1
Performance,Dashboard should load in under 2 seconds even under peak load.,1
Performance,Database queries must execute within 100ms.,1
Performance,"System should handle at least 10,000 concurrent requests per minute.",1
Performance,The parsing module should process a CV in less than 2 seconds.,1
Performance,The application should have minimal latency under heavy usage.,1
Performance,Users must experience instant feedback when performing actions.,1
Performance,The system shall process 1000 transactions per second.,1
Performance,Performance optimization is critical to meet user expectations.,1
Performance,System must remain responsive during high network traffic.,1
Performance,Processing time for any operation must not exceed 1 second.,1
Performance,Application must run smoothly even with large datasets.,1
Performance,The server should maintain a latency below 100 ms.,1
Performance,The API should scale efficiently without performance degradation.,1
Performance,Real-time analytics must be delivered within 2 seconds.,1
Performance,Performance should not degrade as concurrent users increase.,1
Performance,Application startup time should be less than 3 seconds.,1
Performance,System must provide a consistent response time of under 2 seconds.,1
Performance,The user interface must react instantly to user input.,1
Performance,System performance may depend on data size and hardware resources.,1
Performance,Response time may vary depending on concurrent users.,1
Performance,Performance can fluctuate based on network conditions.,1
Performance,The application may slow down during peak hours.,1
Performance,Processing time may increase with complex data.,1
Performance,System performance might change with heavy background tasks.,1
Performance,Performance depends on system configuration and environment.,1
Performance,The system may temporarily degrade under high load.,1
Performance,Response time varies depending on server workload.,1
Performance,Processing speed may differ across user devices.,1
Performance,The system might slow down when multiple background jobs are running.,1
Performance,System throughput may decrease when handling large files.,1
Performance,Performance may vary depending on database size.,1
Performance,Application speed depends on available memory and CPU.,1
