category,text,label
Performance,"The system must provide a fast and efficient parsing process, under 2 seconds.",High
Performance,CV parsing speed must be optimized to under 2 seconds.,High
Performance,System should respond in less than 1 second.,High
Performance,System performance can vary under load.,Variable
Performance,Performance is not critical for this system.,Low
Performance,System should respond in less than 1 second.,High
Performance,System performance can vary under load.,Variable
Performance,Performance is not critical for this system.,Low
Performance,System should process 1000 transactions per second.,High
Performance,The application must load the dashboard in under 2 seconds.,High
Performance,The response time for any API call should not exceed 500 milliseconds.,High
Performance,"The system must support 10,000 concurrent users without degradation.",High
Performance,Reports should be generated within 3 seconds after user request.,High
Performance,System performance must remain stable under heavy traffic conditions.,High
Performance,Database queries should execute in less than 200ms.,High
Performance,The server must maintain uptime of 99.9% with minimal latency.,High
Performance,Performance is not a primary concern for this application.,Low
Performance,System may take up to 30 seconds to complete background tasks.,Low
Performance,Response time under load may exceed 10 seconds.,Low
Performance,Batch processing may take several minutes to complete.,Low
Performance,System is expected to run on a single-user mode with minimal performance requirements.,Low
Performance,Delays in data retrieval are acceptable for this prototype version.,Low
Performance,System should respond in less than 1 second.,High
Performance,System performance can vary under load.,Variable
Performance,Performance is not critical for this system.,Low
Performance,System should process 1000 transactions per second.,High
Performance,The application must load the dashboard in under 2 seconds.,High
Performance,The response time for any API call should not exceed 500 milliseconds.,High
Performance,"The system must support 10,000 concurrent users without degradation.",High
Performance,Reports should be generated within 3 seconds after user request.,High
Performance,System performance must remain stable under heavy traffic conditions.,High
Performance,Database queries should execute in less than 200ms.,High
Performance,The server must maintain uptime of 99.9% with minimal latency.,High
Performance,Performance is not a primary concern for this application.,Low
Performance,System may take up to 30 seconds to complete background tasks.,Low
Performance,Response time under load may exceed 10 seconds.,Low
Performance,Batch processing may take several minutes to complete.,Low
Performance,System is expected to run on a single-user mode with minimal performance requirements.,Low
Performance,Delays in data retrieval are acceptable for this prototype version.,Low
Performance,The system must be highly responsive and efficient.,High
Performance,Application speed is a top priority.,High
Performance,System should perform operations instantly.,High
Performance,Users should experience no lag while using the system.,High
Performance,Performance must be optimized for quick user interaction.,High
Performance,System should respond in less than 1 second.,High
Performance,System performance can vary under load.,Variable
Performance,Performance is not critical for this system.,Low
Performance,System should process 1000 transactions per second.,High
Performance,The application must load the dashboard in under 2 seconds.,High
Performance,The response time for any API call should not exceed 500 milliseconds.,High
Performance,"The system must support 10,000 concurrent users without degradation.",High
Performance,Reports should be generated within 3 seconds after user request.,High
Performance,System performance must remain stable under heavy traffic conditions.,High
