Type,Requirement
PE,The system shall refresh the display every 60 seconds.
LF,The application shall match the color of the schema set forth by Department of Homeland Security
US, If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30
A, The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.
US, If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100
SE,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts
US,The product shall be intuitive and self-explanatory.  
PE,The product shall respond fast to keep up-to-date data in the display.
F,The system shall have a MDI form that allows for the viewing of the graph and the data table.
F,The system shall display Events in a vertical table by time.
F,The system shall display the Events in a graph by time.
L,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.
L,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.
L,All actions that modify an existing dispute case must be recorded in the case history.
F,The Disputes System must be accessible by both internal and external users.
F,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.
F,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.
F,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.
F,The Disputes System shall provide view access capability for authorized users of the application.
F,The Disputes System shall provide update access capability for authorized users of the application.
F,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.
F,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.
F,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.
F,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.
F,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.
F, The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.
F,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.
F, The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.
F,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.
F, The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.
F,The Disputes System must provide the ability to view existing dispute cases.
F, The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.
F,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.
F,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.
F,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.
F, The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.
F, For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.
F,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.
F,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.
O,The product must support Internet Explorer 5.5 and above.
O,The product must support Mozilla Firefox 1.0 and above.
O,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.
O,The product shall run on the existing hardware for all environments.
O,The product shall adhere to the corporate Architecture guidelines
LF,The product shall comply with corporate User Interface Guidelines
LF,The product shall comply with corporate color scheme
LF,The appearance of the product shall appear professional
PO,The software product is expected to run on Windows or Linux platforms.
US,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.
US,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.
US,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.
US,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training
