Architecture Style,PE,SC,MN,A,SE,US,PO,O,,
Monolithic,1,0,0,1,1,1,0,1,,
Client server,1,1,1,1,1,1,1,1,,
Microservices,1,1,1,1,1,1,1,0,,
Service Oriented (SOA),1,1,1,1,1,1,1,1,,
Event-Driven/ Messaging,1,1,1,1,1,1,1,1,,
Microkernal (plug-in),0,1,1,1,1,1,1,1,,
Component Based,1,1,1,1,1,1,1,1,,
Pipe and- Filter,1,1,1,0,0,0,1,1,,
Broker (middleware),1,1,1,1,1,0,1,1,,
Peer to Peer (P2P),1,1,0,1,0,0,0,0,,
BlackBoard (Shared-Space),0,0,0,0,0,0,0,0,,
MVC (model-view-controller),1,0,1,1,1,1,1,1,,
Space Based ,1,1,1,1,0,0,1,1,,
REST/ resource-oriented,1,1,1,1,1,1,1,1,,
Hexagonal (ports& adapters),1,1,1,1,1,1,1,1,,
Serverless/FaaS,1,1,1,1,1,1,1,0,,
Event-Bus/Event Broker,1,1,1,1,1,1,1,1,,
