Type,Requirement,Level
PE,The system shall refresh the display every 60 seconds,High
LF,The application shall match the color of the schema set forth by Department of Homeland Security,Low
US,If projected  the data must be readable  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,Medium
A,The product shall be available during normal business hours As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation,High
US,If projected  the data must be understandable On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,Medium
SE,The product shall ensure that it can only be accessed by authorized users  The product will be able to distinguish between authorized and unauthorized users in all access attempts,High
US,The product shall be intuitive and self-explanatory,Medium
PE,The product shall respond fast to keep up-to-date data in the display,High
L,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z,High
L,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case,High
L,All actions that modify an existing dispute case must be recorded in the case history,High
O,The product must support Internet Explorer 55 and above,Low
O,The product must support Mozilla Firefox 10 and above,Low
O,The product shall interface with the Choice Parts System  This provides the feed of recycled parts data,Low
O,The product shall run on the existing hardware for all environments,Low
O,The product shall adhere to the corporate Architecture guidelines,Low
LF,The product shall comply with corporate User Interface Guidelines,Low
LF,The product shall comply with corporate color scheme,Low
LF,The appearance of the product shall appear professional,Low
PO,The software product is expected to run on Windows or Linux platforms,Low
US,The product shall be easy to use by Adjusters and Collision Estimators  95% of Adjusters and Collision Estimators shall find the product easy to use,Medium
US,The product shall increase productivity of Collision Estimators 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product,Medium
US,Users shall feel satisfied using the product  85% of all users will be satisfied with the product,Medium
US,The product shall be easy to learn by Adjusters and Collision Estimators  The product shall be learned with two days onsite training,Medium
US,The user shall easily locate instructions while using the product  User help can be found within 90% of the system,Medium
PE,The search for recycled parts shall take no longer than 15 seconds  The search results shall be returned in under 15 seconds,High
PE,The search for the preferred repair facility shall take no longer than 8 seconds  The preferred repair facility is returned within 8 seconds,High
PE,The recycled parts audit report shall be returned to the user within 10 seconds  The audit report shall be returned within 10 seconds,High
PE,The preferred repair facility ratings shall be saved within 5 seconds The save shall occur within 5 seconds,High
A,The product shall adhere to the corporate online availability schedule  The application is brought down only within 98% of the scheduled outages per the availability schedule,High
A,The product shall achieve a 98% uptime The product shall not fail more than 2% of the available online time,High
SC,The product shall be able to handle up to 1500 simultaneous users The system shall perform with 1500 users as a time,High
SC, The average number of recycled parts records per day shall be 50 000,High
SC, The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch,High
O, For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions,Low
O,The product shall interface with the ChoiceParts system once per day at approximately 1,Low
O,The maintenance of the product will fall within the established corporate maintenance windows,Low
O,The product shall be supported using the corporate support center,Low
O,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames,Low
SE,Only adjusters can request recycled parts audit reports No users without an adjuster role shall request recycled parts audits,High
SE,Only adjusters with a supervisor role can update preferred repair facility ratings Users without the supervisor role cannot access the repair facility ratings,High
SE,Only collision estimators shall search for recycled parts  Users without the collision estimator role shall not have access to the search for recycled parts,High
SE,Only valid data shall be entered into the system  No invalid data shall be entered into the system,High
SE,One insurance company shall not be able to view another insurance companys claim data,High
SE,The product shall free of computer viruses,High
SE,The system shall prevent malicious attacks including denial of service,High
L,The product must comply with Sarbanes-Oxley,High
